question_id,repo,question,question_type,difficulty,cross_file_required,engine,model,answer,cited_files,correct_files_cited,total_ground_truth_files,file_citation_precision,file_citation_recall,latency_ms,input_tokens,output_tokens,estimated_cost_usd,keyword_match_score,answer_length_chars,error
Q001,fastapi/fastapi,Where is the main FastAPI application class defined?,navigation,easy,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Where is the main FastAPI application class defined?' can be found in `fastapi/applications.py`. Key implementation details involve `class FastAPI`, `Starlette`. This is a easy navigation question answerable from a single file.","[""fastapi/applications.py""]",1,1,1.0,1.0,516.6,3302,659,0.007423,0.642,288,
Q001,fastapi/fastapi,Where is the main FastAPI application class defined?,navigation,easy,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Where is the main FastAPI application class defined?' can be found in `fastapi/applications.py`. Key implementation details involve `class FastAPI`, `Starlette`. This is a easy navigation question answerable from a single file.","[""fastapi/applications.py""]",1,1,1.0,1.0,5178.2,80434,439,0.102737,0.61,294,
Q002,fastapi/fastapi,How does FastAPI handle request validation using Pydantic?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does FastAPI handle request validation using Pydantic?' can be found in `fastapi/routing.py`. Key implementation details involve `pydantic`, `validate`, `request_body`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/routing.py""]",1,2,1.0,0.5,360.9,5269,588,0.009526,0.815,307,
Q002,fastapi/fastapi,How does FastAPI handle request validation using Pydantic?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does FastAPI handle request validation using Pydantic?' can be found in `fastapi/routing.py`, `fastapi/dependencies/utils.py`. Key implementation details involve `pydantic`, `validate`, `request_body`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/routing.py"", ""fastapi/dependencies/utils.py""]",2,2,1.0,1.0,7621.4,76885,809,0.100151,0.843,346,
Q003,fastapi/fastapi,Explain the overall architecture of FastAPI — how does a request flow from entry to response?,architecture,hard,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Explain the overall architecture of FastAPI — how does a request flow from entry to response?' can be found in `fastapi/applications.py`. Key implementation details involve `router`, `middleware`, `response`. This is a hard architecture question requiring cross-file understanding.","[""fastapi/applications.py""]",1,3,1.0,0.333,339.1,4931,454,0.008434,0.737,342,
Q003,fastapi/fastapi,Explain the overall architecture of FastAPI — how does a request flow from entry to response?,architecture,hard,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Explain the overall architecture of FastAPI — how does a request flow from entry to response?' can be found in `fastapi/applications.py`, `fastapi/routing.py`, `related_module.py`. Key implementation details involve `router`, `middleware`, `response`. This is a hard architecture question requiring cross-file understanding.","[""fastapi/applications.py"", ""fastapi/routing.py"", ""related_module.py""]",2,3,0.667,0.667,6133.3,73274,449,0.093838,0.813,391,
Q004,fastapi/fastapi,How does FastAPI generate OpenAPI documentation automatically?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does FastAPI generate OpenAPI documentation automatically?' can be found in `fastapi/openapi/utils.py`, `related_module.py`. Key implementation details involve `openapi`, `schema`, `docs`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/openapi/utils.py"", ""related_module.py""]",1,2,0.5,0.5,578.6,5081,554,0.009121,0.624,327,
Q004,fastapi/fastapi,How does FastAPI generate OpenAPI documentation automatically?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does FastAPI generate OpenAPI documentation automatically?' can be found in `fastapi/openapi/utils.py`, `fastapi/applications.py`. Key implementation details involve `openapi`, `schema`, `docs`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/openapi/utils.py"", ""fastapi/applications.py""]",2,2,1.0,1.0,5956.2,79196,720,0.102595,0.615,339,
Q005,fastapi/fastapi,Where are HTTP exceptions and error handlers defined?,navigation,easy,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Where are HTTP exceptions and error handlers defined?' can be found in `fastapi/exception_handlers.py`, `fastapi/exceptions.py`. Key implementation details involve `HTTPException`, `exception_handler`. This is a easy navigation question answerable from a single file.","[""fastapi/exception_handlers.py"", ""fastapi/exceptions.py""]",2,2,1.0,1.0,364.3,4385,320,0.007081,0.714,328,
Q005,fastapi/fastapi,Where are HTTP exceptions and error handlers defined?,navigation,easy,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Where are HTTP exceptions and error handlers defined?' can be found in `fastapi/exception_handlers.py`, `fastapi/exceptions.py`. Key implementation details involve `HTTPException`, `exception_handler`. This is a easy navigation question answerable from a single file.","[""fastapi/exception_handlers.py"", ""fastapi/exceptions.py""]",2,2,1.0,1.0,6609.9,81466,516,0.104413,0.814,334,
Q006,fastapi/fastapi,How does dependency injection work in FastAPI — trace through a Depends() call,explanation,hard,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does dependency injection work in FastAPI — trace through a Depends() call' can be found in `fastapi/dependencies/utils.py`, `fastapi/routing.py`, `related_module.py`. Key implementation details involve `Depends`, `solve_dependencies`, `dependency_cache`. This is a hard explanation question requiring cross-file understanding.","[""fastapi/dependencies/utils.py"", ""fastapi/routing.py"", ""related_module.py""]",2,3,0.5,0.667,539.7,3492,591,0.00732,0.819,392,
Q006,fastapi/fastapi,How does dependency injection work in FastAPI — trace through a Depends() call,explanation,hard,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does dependency injection work in FastAPI — trace through a Depends() call' can be found in `fastapi/dependencies/utils.py`, `fastapi/routing.py`, `fastapi/params.py`. Key implementation details involve `Depends`, `solve_dependencies`, `dependency_cache`. This is a hard explanation question requiring cross-file understanding.","[""fastapi/dependencies/utils.py"", ""fastapi/routing.py"", ""fastapi/params.py""]",3,3,1.0,1.0,5426.7,76442,574,0.098422,0.673,398,
Q007,fastapi/fastapi,What happens when you define a path operation with response_model?,explanation,medium,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'What happens when you define a path operation with response_model?' can be found in `fastapi/routing.py`. Key implementation details involve `response_model`, `serialize_response`. This is a medium explanation question answerable from a single file.","[""fastapi/routing.py""]",1,1,1.0,1.0,291.9,4492,485,0.00804,0.874,310,
Q007,fastapi/fastapi,What happens when you define a path operation with response_model?,explanation,medium,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'What happens when you define a path operation with response_model?' can be found in `fastapi/routing.py`, `related_module.py`. Key implementation details involve `response_model`, `serialize_response`. This is a medium explanation question answerable from a single file.","[""fastapi/routing.py"", ""related_module.py""]",1,1,0.5,1.0,7074.1,80182,567,0.103063,0.883,337,
Q008,fastapi/fastapi,How does FastAPI handle background tasks?,explanation,easy,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does FastAPI handle background tasks?' can be found in `fastapi/background.py`, `related_module.py`. Key implementation details involve `BackgroundTasks`, `add_task`. This is a easy explanation question answerable from a single file.","[""fastapi/background.py"", ""related_module.py""]",1,1,0.333,1.0,517.9,3785,415,0.006806,0.768,298,
Q008,fastapi/fastapi,How does FastAPI handle background tasks?,explanation,easy,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does FastAPI handle background tasks?' can be found in `fastapi/background.py`. Key implementation details involve `BackgroundTasks`, `add_task`. This is a easy explanation question answerable from a single file.","[""fastapi/background.py""]",1,1,1.0,1.0,5832.0,78709,758,0.102176,0.763,283,
Q009,fastapi/fastapi,Where is middleware processing implemented and how does it chain?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Where is middleware processing implemented and how does it chain?' can be found in `fastapi/middleware`. Key implementation details involve `add_middleware`, `Middleware`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/middleware""]",1,2,1.0,0.5,313.6,3392,336,0.00592,0.838,306,
Q009,fastapi/fastapi,Where is middleware processing implemented and how does it chain?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Where is middleware processing implemented and how does it chain?' can be found in `fastapi/middleware`, `fastapi/applications.py`, `related_module.py`. Key implementation details involve `add_middleware`, `Middleware`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/middleware"", ""fastapi/applications.py"", ""related_module.py""]",2,2,0.667,1.0,6482.4,72951,740,0.094889,0.769,360,
Q010,fastapi/fastapi,How does WebSocket support work in FastAPI?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does WebSocket support work in FastAPI?' can be found in `fastapi/routing.py`, `related_module.py`. Key implementation details involve `WebSocket`, `websocket_route`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/routing.py"", ""related_module.py""]",1,2,0.333,0.5,639.3,3247,628,0.007199,0.865,305,
Q010,fastapi/fastapi,How does WebSocket support work in FastAPI?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does WebSocket support work in FastAPI?' can be found in `fastapi/routing.py`, `related_module.py`. Key implementation details involve `WebSocket`, `websocket_route`. This is a medium explanation question requiring cross-file understanding.","[""fastapi/routing.py"", ""related_module.py""]",1,2,0.5,0.5,7823.6,80743,698,0.104419,0.651,311,
Q011,langchain-ai/langchain,Where is the base LLM class defined?,navigation,easy,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Where is the base LLM class defined?' can be found in `libs/langchain/langchain/llms/base.py`, `related_module.py`. Key implementation details involve `class BaseLLM`, `BaseLanguageModel`. This is a easy navigation question answerable from a single file.","[""libs/langchain/langchain/llms/base.py"", ""related_module.py""]",1,1,0.333,1.0,281.2,4278,536,0.008027,0.874,315,
Q011,langchain-ai/langchain,Where is the base LLM class defined?,navigation,easy,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Where is the base LLM class defined?' can be found in `libs/langchain/langchain/llms/base.py`. Key implementation details involve `class BaseLLM`, `BaseLanguageModel`. This is a easy navigation question answerable from a single file.","[""libs/langchain/langchain/llms/base.py""]",1,1,1.0,1.0,41069.7,373295,869,0.941928,0.72,300,
Q012,langchain-ai/langchain,How does a LangChain chain execute — trace through the invoke() call,explanation,hard,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does a LangChain chain execute — trace through the invoke() call' can be found in `libs/core/langchain_core/runnables/base.py`, `related_module.py`. Key implementation details involve `invoke`, `Runnable`, `RunnableSequence`. This is a hard explanation question requiring cross-file understanding.","[""libs/core/langchain_core/runnables/base.py"", ""related_module.py""]",1,1,0.5,1.0,339.8,5372,280,0.008115,0.606,362,
Q012,langchain-ai/langchain,How does a LangChain chain execute — trace through the invoke() call,explanation,hard,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does a LangChain chain execute — trace through the invoke() call' can be found in `libs/core/langchain_core/runnables/base.py`. Key implementation details involve `invoke`, `Runnable`, `RunnableSequence`. This is a hard explanation question requiring cross-file understanding.","[""libs/core/langchain_core/runnables/base.py""]",1,1,1.0,1.0,42250.6,404978,664,1.019085,0.881,347,
Q013,langchain-ai/langchain,Explain the overall architecture of the LangChain Expression Language (LCEL),architecture,hard,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Explain the overall architecture of the LangChain Expression Language (LCEL)' can be found in `libs/core/langchain_core/runnables`. Key implementation details involve `Runnable`, `pipe`, `chain`. This is a hard architecture question requiring cross-file understanding.","[""libs/core/langchain_core/runnables""]",1,1,1.0,1.0,630.4,3550,654,0.007707,0.743,329,
Q013,langchain-ai/langchain,Explain the overall architecture of the LangChain Expression Language (LCEL),architecture,hard,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Explain the overall architecture of the LangChain Expression Language (LCEL)' can be found in `libs/core/langchain_core/runnables`. Key implementation details involve `Runnable`, `pipe`, `chain`. This is a hard architecture question requiring cross-file understanding.","[""libs/core/langchain_core/runnables""]",1,1,1.0,1.0,34259.4,363866,836,0.918025,0.722,335,
Q014,langchain-ai/langchain,How does RAG work in LangChain — what classes are involved?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does RAG work in LangChain — what classes are involved?' can be found in `libs/langchain/langchain/chains/retrieval_qa`, `related_module.py`. Key implementation details involve `RetrievalQA`, `retriever`, `vector_store`. This is a medium explanation question requiring cross-file understanding.","[""libs/langchain/langchain/chains/retrieval_qa"", ""related_module.py""]",1,1,0.333,1.0,602.8,4933,388,0.008106,0.807,359,
Q014,langchain-ai/langchain,How does RAG work in LangChain — what classes are involved?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does RAG work in LangChain — what classes are involved?' can be found in `libs/langchain/langchain/chains/retrieval_qa`, `related_module.py`. Key implementation details involve `RetrievalQA`, `retriever`, `vector_store`. This is a medium explanation question requiring cross-file understanding.","[""libs/langchain/langchain/chains/retrieval_qa"", ""related_module.py""]",1,1,0.5,1.0,37893.1,378784,732,0.95428,0.639,365,
Q015,langchain-ai/langchain,Where is the ChatPromptTemplate class defined and how does it format messages?,navigation,easy,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Where is the ChatPromptTemplate class defined and how does it format messages?' can be found in `libs/core/langchain_core/prompts/chat.py`. Key implementation details involve `ChatPromptTemplate`, `format_messages`. This is a easy navigation question answerable from a single file.","[""libs/core/langchain_core/prompts/chat.py""]",1,1,1.0,1.0,363.1,4584,290,0.00718,0.777,342,
Q015,langchain-ai/langchain,Where is the ChatPromptTemplate class defined and how does it format messages?,navigation,easy,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Where is the ChatPromptTemplate class defined and how does it format messages?' can be found in `libs/core/langchain_core/prompts/chat.py`. Key implementation details involve `ChatPromptTemplate`, `format_messages`. This is a easy navigation question answerable from a single file.","[""libs/core/langchain_core/prompts/chat.py""]",1,1,1.0,1.0,23665.0,395648,410,0.99322,0.875,348,
Q016,langchain-ai/langchain,How does streaming work in LangChain chains?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does streaming work in LangChain chains?' can be found in `libs/core/langchain_core/runnables/base.py`. Key implementation details involve `stream`, `astream`, `StreamEvent`. This is a medium explanation question requiring cross-file understanding.","[""libs/core/langchain_core/runnables/base.py""]",1,1,1.0,1.0,306.2,4174,422,0.007327,0.762,313,
Q016,langchain-ai/langchain,How does streaming work in LangChain chains?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does streaming work in LangChain chains?' can be found in `libs/core/langchain_core/runnables/base.py`, `related_module.py`. Key implementation details involve `stream`, `astream`, `StreamEvent`. This is a medium explanation question requiring cross-file understanding.","[""libs/core/langchain_core/runnables/base.py"", ""related_module.py""]",1,1,0.5,1.0,38102.8,405178,834,1.021285,0.858,340,
Q017,langchain-ai/langchain,How does memory work in LangChain agents?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does memory work in LangChain agents?' can be found in `libs/langchain/langchain/memory`, `related_module.py`. Key implementation details involve `ConversationBufferMemory`, `chat_memory`. This is a medium explanation question requiring cross-file understanding.","[""libs/langchain/langchain/memory"", ""related_module.py""]",1,1,0.5,1.0,350.5,3597,617,0.007581,0.723,327,
Q017,langchain-ai/langchain,How does memory work in LangChain agents?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does memory work in LangChain agents?' can be found in `libs/langchain/langchain/memory`, `related_module.py`. Key implementation details involve `ConversationBufferMemory`, `chat_memory`. This is a medium explanation question requiring cross-file understanding.","[""libs/langchain/langchain/memory"", ""related_module.py""]",1,1,0.5,1.0,40934.9,359957,450,0.904393,0.856,333,
Q018,langchain-ai/langchain,What is the data flow from user message to LLM response in a ConversationalRetrievalChain?,architecture,hard,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'What is the data flow from user message to LLM response in a ConversationalRetrievalChain?' can be found in `libs/langchain/langchain/chains/conversational_retrieval`. Key implementation details involve `ConversationalRetrievalChain`, `retriever`, `combine_docs`. This is a hard architecture question requiring cross-file understanding.","[""libs/langchain/langchain/chains/conversational_retrieval""]",1,1,1.0,1.0,320.4,3984,377,0.006865,0.577,397,
Q018,langchain-ai/langchain,What is the data flow from user message to LLM response in a ConversationalRetrievalChain?,architecture,hard,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'What is the data flow from user message to LLM response in a ConversationalRetrievalChain?' can be found in `libs/langchain/langchain/chains/conversational_retrieval`. Key implementation details involve `ConversationalRetrievalChain`, `retriever`, `combine_docs`. This is a hard architecture question requiring cross-file understanding.","[""libs/langchain/langchain/chains/conversational_retrieval""]",1,1,1.0,1.0,29135.5,370639,427,0.930867,0.664,403,
Q019,langchain-ai/langchain,Find where tool calling is implemented for LLM agents,navigation,medium,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Find where tool calling is implemented for LLM agents' can be found in `libs/langchain/langchain/agents/tool_calling_agent`. Key implementation details involve `tool_calling`, `bind_tools`. This is a medium navigation question answerable from a single file.","[""libs/langchain/langchain/agents/tool_calling_agent""]",1,1,1.0,1.0,649.7,3260,327,0.00571,0.65,318,
Q019,langchain-ai/langchain,Find where tool calling is implemented for LLM agents,navigation,medium,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Find where tool calling is implemented for LLM agents' can be found in `libs/langchain/langchain/agents/tool_calling_agent`. Key implementation details involve `tool_calling`, `bind_tools`. This is a medium navigation question answerable from a single file.","[""libs/langchain/langchain/agents/tool_calling_agent""]",1,1,1.0,1.0,33310.5,368670,760,0.929275,0.721,324,
Q020,langchain-ai/langchain,How does document loading and text splitting work together?,explanation,medium,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does document loading and text splitting work together?' can be found in `libs/langchain/langchain/document_loaders`, `related_module.py`. Key implementation details involve `DocumentLoader`, `TextSplitter`, `split_documents`. This is a medium explanation question requiring cross-file understanding.","[""libs/langchain/langchain/document_loaders"", ""related_module.py""]",1,2,0.333,0.5,644.6,4286,512,0.007917,0.887,365,
Q020,langchain-ai/langchain,How does document loading and text splitting work together?,explanation,medium,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does document loading and text splitting work together?' can be found in `libs/langchain/langchain/document_loaders`, `related_module.py`. Key implementation details involve `DocumentLoader`, `TextSplitter`, `split_documents`. This is a medium explanation question requiring cross-file understanding.","[""libs/langchain/langchain/document_loaders"", ""related_module.py""]",1,2,0.5,0.5,43587.7,387344,848,0.97684,0.67,371,
Q021,tiangolo/sqlmodel,Where is the main SQLModel class defined?,navigation,easy,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Where is the main SQLModel class defined?' can be found in `sqlmodel/main.py`. Key implementation details involve `class SQLModel`, `SQLModelMetaclass`. This is a easy navigation question answerable from a single file.","[""sqlmodel/main.py""]",1,1,1.0,1.0,301.6,5420,311,0.00833,0.615,279,
Q021,tiangolo/sqlmodel,Where is the main SQLModel class defined?,navigation,easy,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Where is the main SQLModel class defined?' can be found in `sqlmodel/main.py`. Key implementation details involve `class SQLModel`, `SQLModelMetaclass`. This is a easy navigation question answerable from a single file.","[""sqlmodel/main.py""]",1,1,1.0,1.0,2524.3,31024,893,0.043245,0.872,285,
Q022,tiangolo/sqlmodel,How does SQLModel combine Pydantic models with SQLAlchemy tables?,explanation,hard,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does SQLModel combine Pydantic models with SQLAlchemy tables?' can be found in `sqlmodel/main.py`, `related_module.py`. Key implementation details involve `SQLModelMetaclass`, `pydantic`, `sqlalchemy`. This is a hard explanation question answerable from a single file.","[""sqlmodel/main.py"", ""related_module.py""]",1,1,0.5,1.0,305.4,3478,625,0.007472,0.636,333,
Q022,tiangolo/sqlmodel,How does SQLModel combine Pydantic models with SQLAlchemy tables?,explanation,hard,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does SQLModel combine Pydantic models with SQLAlchemy tables?' can be found in `sqlmodel/main.py`, `related_module.py`. Key implementation details involve `SQLModelMetaclass`, `pydantic`, `sqlalchemy`. This is a hard explanation question answerable from a single file.","[""sqlmodel/main.py"", ""related_module.py""]",1,1,0.5,1.0,3159.5,28224,390,0.03723,0.81,339,
Q023,tiangolo/sqlmodel,Explain the overall design of SQLModel — what problems does it solve and how?,architecture,hard,True,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Explain the overall design of SQLModel — what problems does it solve and how?' can be found in `sqlmodel/main.py`, `related_module.py`. Key implementation details involve `SQLModel`, `session`, `pydantic`. This is a hard architecture question requiring cross-file understanding.","[""sqlmodel/main.py"", ""related_module.py""]",1,2,0.333,0.5,489.1,4495,413,0.007684,0.544,339,
Q023,tiangolo/sqlmodel,Explain the overall design of SQLModel — what problems does it solve and how?,architecture,hard,True,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'Explain the overall design of SQLModel — what problems does it solve and how?' can be found in `sqlmodel/main.py`, `sqlmodel/session.py`. Key implementation details involve `SQLModel`, `session`, `pydantic`. This is a hard architecture question requiring cross-file understanding.","[""sqlmodel/main.py"", ""sqlmodel/session.py""]",2,2,1.0,1.0,2200.0,27744,657,0.037965,0.653,347,
Q024,tiangolo/sqlmodel,How does the Session class work in SQLModel?,explanation,medium,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'How does the Session class work in SQLModel?' can be found in `sqlmodel/session.py`. Key implementation details involve `Session`, `exec`, `select`. This is a medium explanation question answerable from a single file.","[""sqlmodel/session.py""]",1,1,1.0,1.0,509.8,5506,331,0.008537,0.752,278,
Q024,tiangolo/sqlmodel,How does the Session class work in SQLModel?,explanation,medium,False,long_context,gemini-1.5-pro,"[SIMULATED — [Long-Context: full repo in context]]

The answer to 'How does the Session class work in SQLModel?' can be found in `sqlmodel/session.py`, `related_module.py`. Key implementation details involve `Session`, `exec`, `select`. This is a medium explanation question answerable from a single file.","[""sqlmodel/session.py"", ""related_module.py""]",1,1,0.5,1.0,1995.5,28651,420,0.037914,0.691,305,
Q025,tiangolo/sqlmodel,Where is relationship handling defined for SQLModel models?,navigation,medium,False,rag,gemini-1.5-pro,"[SIMULATED — [RAG: retrieved top-12 chunks]]

The answer to 'Where is relationship handling defined for SQLModel models?' can be found in `sqlmodel/main.py`, `related_module.py`. Key implementation details involve `Relationship`, `RelationshipInfo`. This is a medium navigation question answerable from a single file.","[""sqlmodel/main.py"", ""related_module.py""]",1,1,0.333,1.0,442.1,5425,640,0.009981,0.759,317,
